Word,Count,Positive TFIDF,Neutral TFIDF,Negative TFIDF
abillira,1,1,1.001081523,1
abrih,1,1.003656368,1,1
abril,1,1,1.001221026,1
abusadu,2,1,1,1.003215637
abut,3,1.00330538,1.001058347,1.002012998
acap,1,1.003531743,1,1
adbiyintu,1,1,1.001112523,1
adlaw,3,1,1.001370913,1.002112417
adlawa,1,1.003344806,1,1
administrasy,2,1,1,1.002394258
adtu,2,1,1.001187503,1
adtung,7,1.003531743,1.002165107,1.002027967
adunay,3,1.004119083,1.001314029,1
aging,2,1,1.001112523,1.001984974
agnisi,1,1,1.001365697,1
ahat,1,1,1.001377584,1
ahinsiya,1,1,1.001124579,1
ahinsya,4,1.003531743,1.001315324,1.002198019
akbay,2,1,1.001537683,1
aksidinti,1,1,1.001221026,1
aksiy,1,1,1,1.0020334
aktuwal,1,1,1,1.001960236
akung,12,1,1.002830313,1.003206866
akusah,1,1,1,1.002198019
alarma,1,1,1,1.002112417
alarmah,1,1,1.001438032,1
albirtu,1,1,1.001275278,1
albuira,2,1,1,1.002490868
aligasy,1,1,1,1.001925649
alimpus,1,1,1.001365697,1
almacin,2,1,1.001626626,1
alsa,1,1,1,1.002081289
alsica,1,1,1.001365697,1
alvin,1,1,1.001071835,1
alyansa,2,1,1.001336185,1
alyansang,1,1,1.001221026,1
amah,1,1,1,1.001950224
ambut,3,1,1.001813408,1.0020334
anaa,1,1,1.001221026,1
anak,3,1,1.001211556,1.002142368
andal,1,1,1.001081523,1
andam,2,1,1.001245595,1.002131416
angay,2,1.003426329,1.001395415,1
anha,3,1,1.001527431,1
anhi,1,1,1,1.002183046
anhing,1,1,1.001131671,1
anhinsiya,1,1.003745386,1,1
anibirsaryu,1,1,1.001131671,1
anthuny,1,1,1.001081523,1
antibungbung,1,1,1.001159025,1
antiubiutics,1,1,1.001201299,1
antuniu,3,1,1.001362019,1.001918882
anuchi,1,1,1.001081523,1
anug,2,1,1.001275278,1.002626029
anyus,1,1,1,1.002150463
apil,4,1,1.001320147,1.002998377
